Ant_species HW HL WL Sculpture Pilosity Spines HeadColor Linear Preference
Solenopsis_terricola 0.28 0.35 0.38 1 1.5 0 2 -0.0775199844024176 avoid
Solenopsis_yellow 0.37 0.31 0.36 1 3 0 2 -0.160694092415676 avoid
Strumigenys_brevicornis 0.3 0.34 0.37 2 6 0 2 -0.0402807564827452 avoid
Strumigenys_elongata 0.45 0.53 0.46 2 5 0 2 -0.00300253460713589 neutral
Strumigenys_gundlachi 0.22 0.3 0.29 1 8 0 1 -0.00393838954961981 avoid
Strumigenys_marginiventris 0.3 0.36 0.46 1 2 0 2 -0.0492103723922792 avoid
Strumigenys_mek1 0.31 0.38 0.39 1 2 0 2 -0.0702671085981673 avoid
Strumigenys_mek2 0.4 0.5 0.52 2 1 2 3 -0.00214466757652564 neutral
Strumigenys_subedentata 0.42 0.6 0.68 2 1 2 3 -0.00214626195556511 neutral
Strumigenys_zeteki 0.32 0.4 0.45 3 2 2 3 -0.00233963735620979 neutral
Trachymyrmex_bugnioni 0.77 0.74 1.07 3 3 0 3 -0.000233963735620979 neutral
Trachymyrmex_cornetzei 0.9 0.83 1.27 3 3 0 2 0.0171525233098216 prefer
Trachymyrmex_isthmica 1.48 1.28 1.96 3 37.5 8 3 0.0102219626168224 prefer
Trachymyrmex_zeteki 1.09 1 1.59 2 12 16 2 0.0151479219319136 prefer
Tranopelta_gilva 0.6 0.64 0.69 1 9 0 5 -0.000389939559368298 neutral
Wasmannia_auropunctata 0.5 0.52 0.49 2 2 2 3 -0.134617499357693 avoid
