Ant_species	notes	incidence	abundance	stomach	HW	HL	WL	Sculpture	Pilosity	Spines	HeadColor	Invasive	Nitrogen	dN
Solenopsis_lash4	none	24	35	213	1.16	1	1.49	2	50	0	3	2	10.7	7.3
Solenopsis_lash6	none	19	59	0	0.26	0.32	0.32	1	4	0	2	2	12.1	8.2
Solenopsis_picea	none	51	313	0	0.3	0.37	0.38	2	4.5	0	2	2	NA	NA
Solenopsis_subterranea	none	12	95	0	0.3	0.35	0.38	1	10	0	2	2	NA	NA
Solenopsis_terricola	none	126	1988	0	0.28	0.35	0.38	1	1.5	0	2	2	7.7	6.5
Solenopsis_yellow	none	138	4121	0	0.37	0.31	0.36	1	3	0	2	2	10.4	6.7
Strumigenys_brevicornis	none	69	1033	0	0.3	0.34	0.37	2	6	0	2	2	10.9	6.8
Strumigenys_elongata	none	10	77	0	0.45	0.53	0.46	2	5	0	2	2	11.5	7.5
Strumigenys_gundlachi	none	26	101	0	0.22	0.3	0.29	1	8	0	1	2	11.5	NA
Strumigenys_marginiventris	none	76	1262	0	0.3	0.36	0.46	1	2	0	2	2	13.5	5.4
Strumigenys_mek1	none	91	1802	0	0.31	0.38	0.39	1	2	0	2	2	13.2	6.1
Strumigenys_mek2	none	15	55	0	0.4	0.5	0.52	2	1	2	3	2	NA	NA
Strumigenys_subedentata	none	34	85	4	0.42	0.6	0.68	2	1	2	3	2	13.2	3.4
Strumigenys_zeteki	none	9	60	0	0.32	0.4	0.45	3	2	2	3	2	12	3.4
Trachymyrmex_bugnioni	none	6	6	0	0.77	0.74	1.07	3	3	0	3	2	NA	NA
Trachymyrmex_cornetzei	none	14	17	61	0.9	0.83	1.27	3	3	0	2	2	NA	NA
Trachymyrmex_isthmica	none	0	0	35	1.48	1.28	1.96	3	37.5	8	3	2	NA	NA
Trachymyrmex_zeteki	none	1	1	52	1.09	1	1.59	2	12	16	2	2	NA	NA
Tranopelta_gilva	none	5	10	0	0.6	0.64	0.69	1	9	0	5	2	NA	NA
Wasmannia_auropunctata	none	144	3647	26	0.5	0.52	0.49	2	2	2	3	2	12.4	4.4
